timestamp,transcription
(0.0:1.0),"Bom dia, Paulo, ser Pedro."
(0.0:3.0),"Bom dia, sou eu mesmo."
(0.0:5.0),"Ser Pedro me chamou Beatriz, falo da foto do bem."
(0.0:8.0),Da foto?
(0.0:9.0),E isso?
(0.0:10.0),Certo.
(0.0:11.0),"Tudo bem, ser Pedro."
(0.0:13.0),"Tudo bem, não é?"
(0.0:14.0),"Que bom, o ser ser irá responsável ainda pelo DP e utilize o sistema anana, a empresa."
(0.0:20.0),Complexo o Brasil?
(0.0:21.0),"Sim, o resto está apelando da DP."
(0.0:23.0),Terna Carla.
(0.0:25.0),"É, mas o ser seria pelo RH?"
(0.0:27.0),"Porque para mim é que está como um DP, o senhor."
(0.0:30.0),"É, é, está tudo."
(0.0:32.0),"Mas eu não responsável no DP anana, Carla."
(0.0:35.0),"Ah, entendi, o ser seria responsável ainda."
(0.0:38.0),"Não, não é?"
(0.0:38.0),"Eu trabalho com o sistema, assim, ajude, faz, aí faz as fores de pagamento, mas a continuadora é anana, Carla."
(0.0:46.0),"Ah, entendi, é que eu preciso fazer um acompanhamento com um responsável para a gente saber como que está a experiência de vocês."
(0.0:52.0),Será que ela tem dois imedios da flagr comigo agora?
(0.0:55.0),"É anana, Carla, né?"
(0.0:57.0),"É anana, Carla."
(0.0:58.0),Tá bom.
(0.0:59.0),"Ah, não, tá bom."
(1.0:14.0),"Muito acelho para ela, 47, já do mesmo."
(1.0:17.0),Obrigada.
(1.0:32.0),"É a rega anana, Carla."
(1.0:34.0),"Bom dia, Carla."
(1.0:36.0),"A betrisa está falando, tudo bem?"
(1.0:37.0),"Tudo bem, tudo bem, você?"
(1.0:39.0),"Bom dia, Carla."
(1.0:40.0),"Será que ela seria responsável pelo celular e utiliza os sistemas fotos, né?"
(1.0:44.0),Na empresa?
(1.0:45.0),"Com o domínio do blog, do Brasil, 21, né?"
(1.0:48.0),"Tá, meu contato é bem rápido, Sara."
(1.0:51.0),Eu preciso fazer uma acompanhamento só para saber como que vai ser a experiência.
(1.0:54.0),Essa é a situação de vocês.
(1.0:56.0),Esse acompanhamento é feito pela método de LMS.
(1.0:59.0),"Então, será valhada, Sara, 10, a marcação, são os pontos de exercícios que eu preciso perguntar."
(2.0:4.0),"Durar dois minutos, tá bom?"
(2.0:6.0),"Só confirmando, então, ser impejada."
(2.0:9.0),"Eu zero set, presente, 54, 754, meu contato é 9,9, né?"
(2.0:13.0),Quem?
(2.0:13.0),"E então, na verdade é o do blog, C."
(2.0:17.0),"E isso, eu estou falando em relação ao blog, C, do Brasil, 21, tá?"
(2.0:21.0),"Tá, porque aqui eu fui do pão."
(2.0:24.0),"Tem outro, né?"
(2.0:25.0),"Eu sempre pejo, tem, é um que eu não mexo."
(2.0:28.0),"Ah, entendi, mas eu só utilizo o sistema utilizado."
(2.0:31.0),"Ah, não tem problema, tá bom?"
(2.0:34.0),É...
(2.0:34.0),"O e-mail que eu tenho aqui, só para confirmar, da área, o DPR,"
(2.0:38.0),"é a roba complexos do Brasil, 21,5.br, seria Sara também?"
(2.0:42.0),Não.
(2.0:43.0),Ou seria da Senhora?
(2.0:45.0),Não.
(2.0:46.0),"Meu e-a na carro, na carro."
(2.0:48.0),"Ela, ponto pereira, a roba-melha."
(2.0:51.0),"Ah, a roba-melha."
(2.0:52.0),"Ah, entendi, então vou deixar isso daqui."
(2.0:55.0),"Eu tenho os dois, aí eu atalizo como esse nosso."
(2.0:59.0),Obrigada pela atualização.
(3.0:0.0),"No mescaladero da Sara na qual a probabilidade da Sara recomendar a foto,"
(3.0:5.0),"o domingão foi legal hoje, aí."
(3.0:7.0),Tem algum comentário que a Sara que eu seria de deixar isso sobre a nota?
(3.0:11.0),"Não, o sistema muito completo, não estou falando com o seu."
(3.0:15.0),"De ser muito completo, não."
(3.0:17.0),"Algo mais, não."
(3.0:20.0),"Tá, para a gente aproximar um pouquinho mais a melhoria,"
(3.0:23.0),"agora vou se fará alguns pontos específicos e tá escasarabalita,"
(3.0:25.0),"também, somente zero, dez casos, tem a contar."
(3.0:28.0),"Se não tiver, não precisa avaliar, ainda bom?"
(3.0:30.0),"Falando no do seu parte técnico, como a Sara valia a gelidade"
(3.0:33.0),quando você é expressão de um atendimento do surfote?
(3.0:40.0),"É desculpa, mas eu não."
(3.0:43.0),Beatriz.
(3.0:44.0),"Beatriz, sei."
(3.0:47.0),"E o atendimento do a gente do suporte, né,"
(3.0:50.0),usar na lista general que lida com você?
(3.0:53.0),"A gente tem uma boa pessoa específica, que só, né?"
(3.0:55.0),Eu continuo no seis.
(3.0:57.0),É difícil.
(3.0:58.0),É difícil.
(3.0:59.0),Tá bom.
(4.0:1.0),"Falando em relação ao atendimento do comercial,"
(4.0:3.0),"referente ao exactivo de vendas, né?"
(4.0:7.0),"Deixa, não tem contato."
(4.0:9.0),"Não, tudo bem."
(4.0:11.0),Curse e valor dos produtos contratados.
(4.0:13.0),"Será, tem contato?"
(4.0:16.0),"Atendimento do administrativo financeiro,"
(4.0:18.0),"referente a boletos e negociações, caso precisem."
(4.0:21.0),Também não mexe.
(4.0:24.0),"Satisação com a entrantação do software,"
(4.0:26.0),se alistava quando o sistema foi implantado?
(4.0:28.0),Não.
(4.0:29.0),
(4.0:30.0),"Hoje o sistema ele entrega o benefício que você precisa,"
(4.0:33.0),"a entrada totalmente, personalmente, a não entrega."
(4.0:38.0),Entrega totalmente.
(4.0:41.0),Como foi a experiência da senhora com a atualização do software?
(4.0:45.0),Você já acalizaram?
(4.0:46.0),Será como usar afinal sem ter alguma diferença?
(4.0:50.0),Não.
(4.0:51.0),Não.
(4.0:52.0),"No atualização, nós a gente que faz aqui."
(4.0:57.0),Mas será como usar afinal?
(4.0:59.0),Será ter ciência que se atualizou?
(5.0:0.0),
(5.0:0.0),Tem que ser atualizado sem ter alguma diferença.
(5.0:2.0),
(5.0:2.0),"Então, será conseguido a boletos?"
(5.0:4.0),Zero ganho?
(5.0:7.0),9?
(5.0:9.0),9.
(5.0:10.0),
(5.0:10.0),"Para finalizar, a peste para ser avaliço"
(5.0:12.0),e usar a desotendimento realizada pela tópus
(5.0:14.0),"dos unidades de Brasil, é responsável aí"
(5.0:16.0),para vocês.
(5.0:19.0),O atendimento deles.
(5.0:21.0),7.
(5.0:23.0),"Faça isso a segunda,"
(5.0:25.0),será ter algum comentário final?
(5.0:26.0),"Não, não."
(5.0:27.0),Está bom.
(5.0:29.0),Esse acompanhamento ele ocorre a cada seis meses.
(5.0:32.0),"Passando a período, retornamos o contato."
(5.0:34.0),Será ter alguma dúvida ou comentário final?
(5.0:36.0),
(5.0:37.0),"Não, obrigada."
(5.0:38.0),Está.
(5.0:39.0),Ter alguma empresa que você rejeia de cá para a gente?
(5.0:43.0),No momento ou não?
(5.0:45.0),No recordo.
(5.0:47.0),"Estou bem, então, eu agradeço que a gente está um ótimo dia"
(5.0:50.0),e vão para a base.
(5.0:51.0),Estou na cena.
(5.0:52.0),Obrigada.
,
Estatísticas,
Total de palavras,951
Palavras por minuto,161.67511971212423
Percentual de palavras mágicas,0.2103049421661409
a,39
o,22
que,20
eu,19
é,18
do,16
ser,12
e,11
não,11
para,11
de,11
da,9
será,9
tem,9
não.,9
como,8
está,7
carla.,7
um,7
no,7
"ah,",7
com,7
né?,7
na,7
tudo,6
responsável,6
"anana,",6
mas,6
seria,6
"não,",6
gente,6
tá,6
ter,6
"bem,",5
sistema,5
"então,",5
sara,5
atendimento,5
bom,4
"dia,",4
"entendi,",4
acompanhamento,4
bom.,4
"brasil,",4
só,4
estou,4
falando,4
se,4
você,4
usar,4
alguma,4
pelo,3
"é,",3
aí,3
preciso,3
vocês.,3
muito,3
obrigada.,3
os,3
"blog,",3
"tá,",3
meu,3
esse,3
pela,3
bom?,3
ao,3
ou,3
isso,3
foi,3
comentário,3
pedro.,2
mesmo.,2
"beatriz,",2
bem.,2
é?,2
ainda,2
dp,2
porque,2
(0.0:38.0),2
faz,2
fazer,2
saber,2
experiência,2
ela,2
dois,2
"ela,",2
já,2
você?,2
"21,",2
contato,2
uma,2
pontos,2
zero,2
(2.0:13.0),2
em,2
relação,2
(2.0:34.0),2
tenho,2
roba-melha.,2
vou,2
deixar,2
algum,2
"completo,",2
quando,2
difícil.,2
referente,2
contato.,2
dos,2
ele,2
entrega,2
sem,2
(5.0:0.0),2
(5.0:2.0),2
(5.0:10.0),2
final?,2
(0.0:1.0),1
"paulo,",1
(0.0:3.0),1
sou,1
(0.0:5.0),1
pedro,1
me,1
chamou,1
falo,1
foto,1
(0.0:8.0),1
foto?,1
(0.0:9.0),1
isso?,1
(0.0:10.0),1
certo.,1
(0.0:11.0),1
(0.0:13.0),1
(0.0:14.0),1
"bom,",1
irá,1
utilize,1
empresa.,1
(0.0:20.0),1
complexo,1
brasil?,1
(0.0:21.0),1
"sim,",1
resto,1
apelando,1
dp.,1
(0.0:23.0),1
terna,1
(0.0:25.0),1
rh?,1
(0.0:27.0),1
mim,1
"dp,",1
senhor.,1
(0.0:30.0),1
tudo.,1
(0.0:32.0),1
(0.0:35.0),1
ainda.,1
trabalho,1
"sistema,",1
"assim,",1
"ajude,",1
"faz,",1
as,1
fores,1
"pagamento,",1
continuadora,1
(0.0:46.0),1
(0.0:52.0),1
imedios,1
flagr,1
comigo,1
agora?,1
(0.0:55.0),1
"carla,",1
(0.0:57.0),1
(0.0:58.0),1
(0.0:59.0),1
(1.0:14.0),1
acelho,1
"47,",1
(1.0:17.0),1
(1.0:32.0),1
rega,1
(1.0:34.0),1
(1.0:36.0),1
betrisa,1
"falando,",1
bem?,1
(1.0:37.0),1
(1.0:39.0),1
(1.0:40.0),1
celular,1
utiliza,1
sistemas,1
"fotos,",1
(1.0:44.0),1
empresa?,1
(1.0:45.0),1
domínio,1
(1.0:48.0),1
bem,1
"rápido,",1
sara.,1
(1.0:51.0),1
vai,1
experiência.,1
(1.0:54.0),1
essa,1
situação,1
(1.0:56.0),1
feito,1
método,1
lms.,1
(1.0:59.0),1
"valhada,",1
"sara,",1
"10,",1
"marcação,",1
são,1
exercícios,1
perguntar.,1
(2.0:4.0),1
durar,1
"minutos,",1
(2.0:6.0),1
"confirmando,",1
impejada.,1
(2.0:9.0),1
"set,",1
"presente,",1
"54,",1
"754,",1
"9,9,",1
quem?,1
verdade,1
c.,1
(2.0:17.0),1
"isso,",1
"c,",1
tá?,1
(2.0:21.0),1
aqui,1
fui,1
pão.,1
(2.0:24.0),1
"outro,",1
(2.0:25.0),1
sempre,1
"pejo,",1
"tem,",1
mexo.,1
(2.0:28.0),1
utilizo,1
utilizado.,1
(2.0:31.0),1
"problema,",1
é...,1
e-mail,1
"aqui,",1
"confirmar,",1
"área,",1
"dpr,",1
(2.0:38.0),1
roba,1
complexos,1
"21,5.br,",1
também?,1
(2.0:42.0),1
(2.0:43.0),1
senhora?,1
(2.0:45.0),1
(2.0:46.0),1
e-a,1
"carro,",1
carro.,1
(2.0:48.0),1
ponto,1
"pereira,",1
(2.0:51.0),1
(2.0:52.0),1
então,1
daqui.,1
(2.0:55.0),1
"dois,",1
atalizo,1
nosso.,1
(2.0:59.0),1
obrigada,1
atualização.,1
(3.0:0.0),1
mescaladero,1
qual,1
probabilidade,1
recomendar,1
"foto,",1
(3.0:5.0),1
domingão,1
legal,1
"hoje,",1
aí.,1
(3.0:7.0),1
sobre,1
nota?,1
(3.0:11.0),1
seu.,1
(3.0:15.0),1
(3.0:17.0),1
algo,1
"mais,",1
(3.0:20.0),1
aproximar,1
pouquinho,1
mais,1
"melhoria,",1
(3.0:23.0),1
agora,1
fará,1
alguns,1
específicos,1
"escasarabalita,",1
(3.0:25.0),1
"também,",1
somente,1
"zero,",1
dez,1
"casos,",1
contar.,1
(3.0:28.0),1
"tiver,",1
precisa,1
"avaliar,",1
(3.0:30.0),1
seu,1
parte,1
"técnico,",1
valia,1
gelidade,1
(3.0:33.0),1
expressão,1
surfote?,1
(3.0:40.0),1
"desculpa,",1
(3.0:43.0),1
beatriz.,1
(3.0:44.0),1
sei.,1
(3.0:47.0),1
"suporte,",1
"né,",1
(3.0:50.0),1
lista,1
general,1
lida,1
(3.0:53.0),1
boa,1
pessoa,1
"específica,",1
"só,",1
(3.0:55.0),1
continuo,1
seis.,1
(3.0:57.0),1
(3.0:58.0),1
(3.0:59.0),1
(4.0:1.0),1
"comercial,",1
(4.0:3.0),1
exactivo,1
"vendas,",1
(4.0:7.0),1
"deixa,",1
(4.0:9.0),1
(4.0:11.0),1
curse,1
valor,1
produtos,1
contratados.,1
(4.0:13.0),1
"será,",1
contato?,1
(4.0:16.0),1
administrativo,1
"financeiro,",1
(4.0:18.0),1
boletos,1
"negociações,",1
caso,1
precisem.,1
(4.0:21.0),1
também,1
mexe.,1
(4.0:24.0),1
satisação,1
entrantação,1
"software,",1
(4.0:26.0),1
alistava,1
implantado?,1
(4.0:28.0),1
(4.0:29.0),1
(4.0:30.0),1
hoje,1
benefício,1
"precisa,",1
(4.0:33.0),1
entrada,1
"totalmente,",1
"personalmente,",1
entrega.,1
(4.0:38.0),1
totalmente.,1
(4.0:41.0),1
senhora,1
atualização,1
software?,1
(4.0:45.0),1
acalizaram?,1
(4.0:46.0),1
afinal,1
diferença?,1
(4.0:50.0),1
(4.0:51.0),1
(4.0:52.0),1
"atualização,",1
nós,1
aqui.,1
(4.0:57.0),1
afinal?,1
(4.0:59.0),1
ciência,1
atualizou?,1
atualizado,1
diferença.,1
conseguido,1
boletos?,1
(5.0:4.0),1
ganho?,1
(5.0:7.0),1
9?,1
(5.0:9.0),1
9.,1
"finalizar,",1
peste,1
avaliço,1
(5.0:12.0),1
desotendimento,1
realizada,1
tópus,1
(5.0:14.0),1
unidades,1
(5.0:16.0),1
(5.0:19.0),1
deles.,1
(5.0:21.0),1
7.,1
(5.0:23.0),1
faça,1
"segunda,",1
(5.0:25.0),1
(5.0:26.0),1
(5.0:27.0),1
(5.0:29.0),1
ocorre,1
cada,1
seis,1
meses.,1
(5.0:32.0),1
passando,1
"período,",1
retornamos,1
(5.0:34.0),1
dúvida,1
(5.0:36.0),1
(5.0:37.0),1
(5.0:38.0),1
está.,1
(5.0:39.0),1
empresa,1
rejeia,1
cá,1
gente?,1
(5.0:43.0),1
momento,1
não?,1
(5.0:45.0),1
recordo.,1
(5.0:47.0),1
agradeço,1
ótimo,1
dia,1
(5.0:50.0),1
vão,1
base.,1
(5.0:51.0),1
cena.,1
(5.0:52.0),1
